Composition,YS (MPa),radius,radius_diff,VEC,VEC_diff,Hmix,Smix,allen_en,allen_diff,ion,ion_diff,melting,melting_diff,GGA,GGA_diff,c11,c11_diff,delta
Hf0.0909Nb0.1818Ti0.3636V0.1818Zr0.1818,980,1.486215,6.57,4.36,11.03,0.0,12.6,1.3816799999999998,0.096,6.7644234899999995,1.04,2207.6883,13.49,-3.757806,61.81,188.60841,20.69,0.29
Hf0.0952Nb0.1429Ti0.381V0.1905Zr0.1905,1025,1.487758,6.71,4.33,10.89,-0.33,12.48,1.380626,0.099,6.7660686299999995,1.07,2182.74,12.86,-3.790686,62.6,185.89142,20.33,0.28
Hf0.102Mo0.102Nb0.2041Si0.1837Ti0.2041Zr0.2041,1650,1.479177,7.48,4.41,15.14,-39.45,14.55,1.4590801999999998,0.231,7.04415839,7.66,2246.929,18.9,-3.6845700000000003,55.39,209.66181600000002,44.26,0.26
Hf0.1053Nb0.0526Ti0.4211V0.2105Zr0.2105,1115,1.490534,7.01,4.26,10.34,-1.2,11.74,1.377357,0.103,6.76608829,1.12,2123.7213,10.61,-3.865595,64.23,179.48651999999998,18.9,0.24
Hf0.1064Mo0.1064Nb0.2128Si0.1489Ti0.2128Zr0.2128,1550,1.486116,7.26,4.43,15.27,-33.39,14.53,1.4397324,0.215,6.997638929999999,7.13,2271.2410999999997,18.36,-3.7029499999999995,56.23,211.56560199999998,44.59,0.28
Hf0.1111Mo0.1111Nb0.2222Si0.1111Ti0.2222Zr0.2222,1600,1.493184,6.99,4.44,15.43,-26.07,14.43,1.4183025999999999,0.194,6.944994319999999,6.41,2296.8814,17.71,-3.72185,57.11,213.554198,44.9,0.3
Hf0.1111Ti0.4444V0.2222Zr0.2222,1160,1.4920730000000002,7.17,4.22,9.85,-1.78,10.58,1.375418,0.106,6.76580113,1.15,2089.2355000000002,8.46,-3.908498,65.08,175.74909000000002,17.55,0.21
Hf0.1163Mo0.1163Nb0.2326Si0.0698Ti0.2326Zr0.2326,1370,1.501692,6.64,4.47,15.52,-17.23,14.17,1.3955917999999998,0.166,6.89099851,5.36,2326.1267000000003,16.92,-3.74446,58.02,215.84076399999998,45.19,0.32
Hf0.122Mo0.122Nb0.2439Si0.0244Ti0.2439Zr0.2439,1350,1.510395,6.19,4.49,15.65,-6.48,13.6,1.3700394,0.122,6.82873838,3.64,2357.2873,15.95,-3.767596,58.98,218.270602,45.47,0.35
Hf0.1249Nb0.1249Ta0.1249Ti0.3751Zr0.2502,903,1.528755,5.0,4.25,10.19,1.87,12.42,1.3355115999999998,0.073,6.9031622,5.52,2320.017,19.49,-3.8443549999999997,74.39,183.57918700000002,23.13,0.5
Hf0.125Mo0.125Nb0.25Ti0.25Zr0.25,1150,1.5150000000000001,5.91,4.5,15.71,-0.25,12.97,1.35625,0.087,6.7949375,1.99,2373.875,15.37,-3.78,59.47,219.54999999999998,45.6,0.37
Hf0.125Nb0.125Ta0.125Ti0.375Zr0.25,903,1.52875,5.0,4.25,10.19,1.88,12.42,1.3355000000000001,0.073,6.903300000000001,5.52,2320.25,19.49,-3.84375,74.43,183.60375000000002,23.13,0.5
Hf0.1429Mo0.1429Nb0.1429Ta0.1429Ti0.1429W0.1429Zr0.1429,1637,1.499021,6.26,4.86,17.14,-3.59,16.18,1.3638376,0.1,7.14621465,7.23,2735.2488999999996,20.83,-2.383572,136.48,283.902288,48.89,0.41
Hf0.1667Mo0.1667Nb0.1667Ta0.1667Ti0.1667Zr0.1667,1512,1.513636,6.18,4.67,15.96,-0.89,14.9,1.3459357999999997,0.097,7.006150949999999,5.98,2577.3486999999996,17.56,-2.4838299999999998,141.06,244.10381099999995,43.76,0.39
Hf0.1667Nb0.1667Ta0.1667Ti0.1667W0.1667Zr0.1667,1550,1.5169700000000002,5.89,4.67,15.96,-2.11,14.9,1.3459358,0.097,7.154113869999999,7.79,2709.0416999999998,22.57,-2.970594,106.09,253.88743399999996,50.11,0.43
Hf0.1739Mo0.1304Nb0.1739Ta0.1739Ti0.1739Zr0.1739,1373,1.518547,6.05,4.61,15.32,-0.21,14.85,1.3401236,0.095,7.00023675,6.11,2562.9529,17.84,-2.6407,132.32,234.476037,42.03,0.41
Hf0.1818Mo0.0909Nb0.1818Ta0.1818Ti0.1818Zr0.1818,1317,1.5243929999999999,5.88,4.55,14.41,0.59,14.7,1.3342302,0.093,6.9960821399999995,6.24,2548.1088,18.14,-2.812446,123.61,224.06486399999997,39.06,0.43
Hf0.1818Nb0.1818Si0.0909Ti0.1818V0.1818Zr0.1818,1483,1.49076,8.23,4.36,11.03,-21.75,14.7,1.4104043999999998,0.197,6.884447849999999,5.9,2236.7762999999995,14.63,-3.67236,65.04,191.251782,19.83,0.22
Hf0.1905Mo0.0476Nb0.1905Ta0.1905Ti0.1905Zr0.1905,1112,1.5311089999999998,5.67,4.48,13.1,1.56,14.34,1.328034,0.09,6.9929252900000005,6.38,2532.3395,18.44,-3.001356,114.86,212.69213499999998,33.77,0.45
Hf0.1Nb0.1Ti0.4V0.2Zr0.2,1065,1.489,6.85,4.3,10.66,-0.72,12.23,1.379,0.101,6.76572,1.09,2154.6000000000004,11.95,-3.8260000000000005,63.41,182.84000000000003,19.77,0.26
Hf0.2128Mo0.1064Nb0.2128Si0.1489Ti0.2128V0.1064,2134,1.4659,8.17,4.53,15.0,-31.12,14.53,1.4450524,0.229,7.02994197,6.82,2315.1843,18.04,-3.5869739999999997,75.13,225.39760199999998,39.2,0.22
Hf0.2222Mo0.1111Nb0.2222Si0.1111Ti0.2222V0.1111,1787,1.472075,8.04,4.56,15.02,-24.44,14.43,1.4238575999999998,0.211,6.97872428,6.1,2342.7657,17.26,-3.6007510000000003,76.45,227.99719800000003,39.2,0.22
Hf0.2222Nb0.2222Si0.1111Ti0.2222V0.2222,1399,1.46652,8.39,4.44,11.19,-24.19,13.14,1.4305236,0.213,6.94027257,6.19,2261.6627,15.79,-3.6685220000000003,71.98,201.888698,16.69,0.19
Hf0.2326Mo0.1163Nb0.2326Si0.0698Ti0.2326V0.1163,1617,1.479595,7.86,4.58,15.06,-16.38,14.17,1.4014068,0.186,6.926307189999998,5.06,2374.1586,16.32,-3.6176930000000005,77.83,230.959764,39.14,0.23
Hf0.25Mo0.125Nb0.25Ti0.25V0.125,1260,1.49125,7.49,4.63,15.03,-0.88,12.97,1.3624999999999998,0.126,6.832887499999999,1.52,2425.5,14.45,-3.64375,80.06,235.8,38.97,0.23
Hf0.25Nb0.25Ta0.25Ti0.25,834,1.5225,5.64,4.5,11.11,2.5,11.53,1.321,0.097,7.07555,6.66,2611.5,18.38,-3.0875,122.9,214.3075,18.85,0.36
Hf0.25Nb0.25Ta0.25Zr0.25,1315,1.5550000000000002,5.43,4.5,11.11,3.5,11.53,1.306,0.091,7.026975,7.16,2659.5,15.6,-2.6325,135.98,209.5575,22.34,0.39
Hf0.25Nb0.25Ti0.25Zr0.25,879,1.5499999999999998,5.72,4.25,10.19,2.5,11.53,1.3175,0.097,6.761525,1.16,2325.5,13.57,-4.775,31.01,185.1,20.98,0.35
Hf0.25Sc0.25Ti0.25Zr0.25,1001,1.5899999999999999,4.64,3.75,11.55,29.0,11.53,1.4425,0.282,6.71215,1.75,2093.75,12.47,-5.125000000000001,22.87,123.475,59.15,0.54
Hf0.25Ta0.25Ti0.25Zr0.25,1500,1.5575,5.24,4.25,10.19,1.75,11.53,1.2985,0.083,7.0443,7.02,2457.5,20.81,-3.2399999999999998,117.39,188.5325,23.51,0.42
Hf0.25Ti0.25Y0.25Zr0.25,554,1.63,6.9,3.75,11.55,8.75,11.53,1.245,0.108,6.62605,3.76,2089.0,12.74,-4.5375000000000005,39.22,142.95,28.52,0.24
Hf0.2754Nb0.0497Ta0.0497Ti0.3499Zr0.2754,540,1.561526,5.49,4.1,7.3,0.98,11.44,1.3022307999999998,0.092,6.82384611,3.78,2249.6049,15.44,-4.823397,45.69,173.303341,18.16,0.38
Hf0.2778Ta0.1667Ti0.2778Zr0.2778,800,1.5651549999999999,5.29,4.17,8.94,1.3,11.36,1.2946857999999999,0.087,6.95104716,6.16,2367.5881,19.33,-3.9402540000000004,84.84,180.58576100000002,21.8,0.41
Hf0.2857Ta0.1429Ti0.2857Zr0.2857,700,1.5671389999999998,5.29,4.14,8.45,1.14,11.24,1.2934306,0.088,6.92353404,5.83,2341.6178,18.69,-4.13964,76.6,178.294097,21.04,0.4
Hf0.2941Ta0.1176Ti0.2941Zr0.2941,400,1.569258,5.29,4.12,7.82,0.97,11.07,1.2921044,0.089,6.8943295199999985,5.41,2314.0245,17.87,-4.3516259999999996,68.07,175.859038,20.06,0.4
Hf0.2Mo0.2Nb0.2Ta0.2Ti0.2,1369,1.496,6.24,4.8,15.59,-1.44,13.38,1.3508000000000002,0.105,7.07892,5.95,2667.2,16.63,-2.242,169.13,264.18600000000004,40.16,0.34
Hf0.2Mo0.2Nb0.2Ta0.2Zr0.2,1524,1.522,6.59,4.8,15.59,-1.12,13.38,1.3388000000000002,0.105,7.04006,6.4,2705.6,14.13,-1.8780000000000001,188.48,260.386,42.22,0.31
Hf0.2Mo0.2Nb0.2Ti0.2Zr0.2,1803,1.518,6.71,4.6,17.39,-1.6,13.38,1.348,0.106,6.8277,2.2,2438.4,14.82,-3.592,75.49,240.82000000000005,48.47,0.3
Hf0.2Mo0.2Ta0.2Ti0.2Zr0.2,1600,1.524,6.5,4.6,17.39,-1.92,13.38,1.3328,0.101,7.053920000000001,6.28,2544.0,19.22,-2.364,161.86,243.56600000000003,48.03,0.32
Hf0.2Nb0.2Ta0.2Ti0.2Zr0.2,929,1.538,5.38,4.4,11.13,2.72,13.38,1.3208,0.087,6.987220000000001,6.54,2514.2000000000003,18.75,-3.208,106.06,200.12600000000003,22.95,0.46
Hf0.2Sc0.2Ti0.2Y0.2Zr0.2,793,1.6280000000000003,6.18,3.6,13.61,24.32,13.38,1.378,0.283,6.61312,3.39,2034.0,12.89,-4.526,35.17,114.36,59.3,0.35
Hf0.3333Ti0.3333Zr0.3333,773,1.579842,5.24,4.0,0.0,0.0,9.13,1.286538,0.093,6.76172376,1.34,2186.7812999999996,10.83,-5.339466,24.04,164.61687,11.13,0.33
Mo0.0294Nb0.2941Ti0.2941V0.0882Zr0.2941,932,1.491327,5.29,4.44,12.44,0.8,11.62,1.386915,0.059,6.750536319999998,1.42,2275.0638999999996,15.05,-3.531285999999999,51.56,196.23554999999996,32.62,0.42
Mo0.0417Nb0.4167Ti0.4167V0.125,932,1.446394,2.98,4.63,12.18,0.07,9.33,1.415142,0.048,6.80078515,1.04,2338.1688,16.71,-3.4656649999999996,62.45,218.31242,29.54,1.05
Mo0.0698Nb0.2326Ti0.2326V0.2326Zr0.2326,1289,1.4623840000000001,6.22,4.61,13.35,-1.26,12.83,1.4144700000000001,0.075,6.7676435,1.65,2285.5854,14.66,-2.653478,88.8,214.02685999999997,37.46,0.33
Mo0.0833Nb0.2778Ti0.2778V0.0833Zr0.2778,1312,1.485843,5.39,4.53,14.24,-0.28,12.32,1.391658,0.061,6.770157509999999,1.8,2309.4271999999996,15.64,-3.272273,63.19,211.10586,41.35,0.42
Mo0.1111Nb0.2222Ti0.2222V0.2222Zr0.2222,1473,1.458743,6.18,4.67,14.27,-1.78,13.14,1.416525,0.075,6.780099699999999,1.89,2311.7688000000003,15.16,-2.484196,97.9,225.05527,41.65,0.34
Mo0.1316Nb0.2632Ti0.2632V0.0789Zr0.2632,1301,1.4809459999999999,5.46,4.61,15.37,-1.14,12.65,1.395921,0.061,6.78781011,2.04,2340.2448,16.01,-3.0402549999999997,73.71,224.43271,45.45,0.42
Mo0.1428Nb0.1428Ti0.1428V0.4288Zr0.1428,1418,1.4199680000000001,6.33,4.86,13.14,-2.53,12.26,1.452888,0.078,6.79316696,1.96,2309.7972,14.32,-1.363528,180.86,243.15135999999998,39.85,0.31
Mo0.1489Nb0.2128Ti0.2128V0.2128Zr0.2128,1706,1.4561069999999998,6.13,4.72,14.95,-2.21,13.31,1.419075,0.074,6.794699799999998,2.07,2336.7961999999998,15.5,-2.330654,106.83,235.24173,44.04,0.35
Mo0.1667Nb0.1667Ta0.1667Ti0.1667V0.1667W0.1667,1515,1.426952,3.63,5.17,13.29,-4.22,14.9,1.4326197999999999,0.065,7.217409859999999,7.23,2779.3890999999994,21.61,-0.940188,302.92,314.049464,41.83,1.13
Mo0.1667Nb0.1667Ti0.1667V0.3333Zr0.1667,1538,1.433486,6.31,4.83,14.23,-2.67,12.98,1.440135,0.077,6.801685569999999,2.09,2335.0842999999995,15.04,-1.680389,150.54,245.59291,42.55,0.33
Mo0.175Nb0.25Ti0.25V0.075Zr0.25,1436,1.4762499999999998,5.5,4.68,16.12,-1.83,12.8,1.3995,0.062,6.802392499999999,2.21,2367.5,16.24,-2.83075,83.6,236.37499999999997,47.49,0.42
Mo0.1818Nb0.1818Ti0.1818V0.2726Zr0.1818,1735,1.441674,6.23,4.82,14.85,-2.71,13.25,1.4316749999999998,0.076,6.80529213,2.17,2350.4921999999997,15.43,-1.8807209999999999,135.51,247.07528999999997,44.12,0.34
Mo0.2105Nb0.2105Si0.1579Ta0.2105W0.2105,2483,1.418803,3.96,5.26,13.57,-28.27,13.33,1.4990184,0.188,7.54348708,7.21,2913.8356999999996,21.59,-0.653684,379.66,340.41527199999996,39.63,0.85
Mo0.2105Nb0.2105Ta0.2105Ti0.1579W0.2105,1304,1.442488,2.65,5.26,13.57,-5.54,13.33,1.4143839999999999,0.053,7.334506429999999,7.15,2953.3106999999995,18.76,-1.0089590000000002,292.07,339.88157,39.89,1.9
Mo0.2105Nb0.2105Ti0.2105V0.1579Zr0.2105,1708,1.457746,5.92,4.79,16.0,-2.7,13.33,1.4161769999999998,0.07,6.814711469999999,2.3,2380.5985,16.03,-2.2612829999999997,112.38,249.97973,46.81,0.38
Mo0.2222Nb0.2222Si0.1111Ta0.2222W0.2222,1883,1.424302,3.69,5.33,12.51,-22.71,13.14,1.4758524,0.164,7.509726730000001,7.18,2982.2572999999998,19.23,-0.5088380000000001,485.51,350.122762,37.69,0.97
Mo0.2222Nb0.2222Ta0.2222Ti0.1111W0.2222,1211,1.4409669999999999,2.69,5.33,12.51,-5.83,13.14,1.4163028,0.054,7.362685880000001,7.13,3010.0323,17.03,-0.758813,372.24,349.747244,37.89,1.82
Mo0.2222Nb0.2222Ti0.2222V0.1111Zr0.2222,1647,1.464298,5.73,4.78,16.44,-2.67,13.14,1.409859,0.066,6.8185514099999995,2.35,2392.8718000000003,16.23,-2.4164250000000003,104.36,251.16377000000003,47.83,0.4
Mo0.2326Nb0.2326Ti0.2326V0.0698Zr0.2326,1455,1.470524,5.53,4.77,16.82,-2.62,12.83,1.4047020000000001,0.062,6.82398858,2.39,2404.4294,16.39,-2.55417,97.76,252.28485999999998,48.68,0.42
Mo0.2353Nb0.2353Si0.0588Ta0.2353W0.2353,1826,1.4305910000000002,3.31,5.41,11.09,-15.61,12.71,1.450106,0.128,7.47274185,7.11,3059.0344,16.11,-0.346986,705.42,361.00841,35.39,1.16
Mo0.2353Nb0.2353Ta0.2353Ti0.0588W0.2353,1109,1.4394109999999998,2.72,5.41,11.09,-6.15,12.71,1.4185892,0.055,7.39492005,7.08,3073.7344000000003,14.76,-0.47928600000000005,553.68,360.809666,35.5,1.72
Mo0.2353Nb0.2353Ti0.2353V0.0588Zr0.2353,1776,1.471768,5.48,4.76,16.94,-2.6,12.71,1.402938,0.061,6.823525460000001,2.4,2406.8297000000002,16.43,-2.590078,96.09,252.51236000000003,48.9,0.42
Mo0.2453Nb0.1887Ti0.1887V0.1887Zr0.1887,1496,1.448636,5.98,4.87,15.97,-3.1,13.33,1.4248589999999999,0.071,6.82849523,2.38,2399.4803,15.99,-1.937583,133.65,261.12030999999996,46.53,0.37
Mo0.25Nb0.25Ta0.25Ti0.25,1210,1.4525,2.59,5.0,14.14,-3.0,11.53,1.3985,0.049,7.1423749999999995,6.29,2708.25,17.99,-1.0975,307.95,283.20750000000004,39.1,1.72
Mo0.25Nb0.25Ta0.25V0.25,1525,1.42,4.14,5.25,8.25,-3.25,11.53,1.4360000000000002,0.073,7.1219,6.52,2765.0,14.42,0.4125,538.68,299.7825,31.79,0.67
Mo0.25Nb0.25Ti0.25V0.25,1200,1.4149999999999998,3.76,5.0,14.14,-2.75,11.53,1.4475,0.058,6.856449999999999,2.04,2431.0,16.3,-1.73,156.86,275.325,41.11,0.82
Mo0.25Nb0.25Ti0.25Zr0.25,1592,1.48,5.12,4.75,17.46,-2.5,11.53,1.395,0.054,6.8283499999999995,2.45,2422.25,16.62,-2.785,87.47,254.0,50.05,0.44
Mo0.25Ta0.25Ti0.25V0.25,1221,1.4224999999999999,4.26,5.0,14.14,-2.75,11.53,1.4285,0.076,7.139225,6.33,2563.0,21.05,-0.1949999999999999,1644.87,278.7575,40.34,0.64
Mo0.2726Nb0.1818Ti0.1818V0.1818Zr0.1818,1603,1.446219,5.93,4.91,16.14,-3.31,13.25,1.4262209999999997,0.07,6.8367526199999995,2.44,2416.8491999999997,16.04,-1.8252719999999998,142.79,268.4367899999999,46.62,0.38
Mo0.2826Nb0.2174Ti0.2174V0.0653Zr0.2174,1603,1.465138,5.54,4.85,17.18,-3.2,12.73,1.408845,0.063,6.84089103,2.5,2435.8646000000003,16.39,-2.3128990000000003,111.57,266.04575,48.75,0.41
Mo0.2857Nb0.2857Re0.1429W0.2857,896,1.412855,2.29,5.86,10.9,-10.61,11.24,1.471435,0.059,7.363254410000001,7.08,3153.5864,12.7,-1.9573580000000002,122.57,440.49174300000004,29.89,2.14
Mo0.2983Nb0.1754Ti0.1754V0.1754Zr0.1754,1645,1.444235,5.87,4.95,16.24,-3.47,13.15,1.427757,0.07,6.84572734,2.49,2433.4955999999997,16.05,-1.720888,152.12,275.30911,46.52,0.38
Mo0.2Nb0.2Ta0.2Ti0.2V0.2,1400,1.43,3.93,5.0,12.65,-2.56,13.38,1.4248,0.069,7.06316,6.11,2598.6,18.77,-0.7720000000000001,400.55,272.30600000000004,37.24,0.87
Mo0.2Nb0.2Ta0.2Ti0.2W0.2,1343,1.444,2.61,5.2,14.39,-5.28,13.38,1.4128,0.053,7.3099,7.16,2902.6,20.12,-1.2340000000000002,245.97,331.04400000000004,41.6,1.96
Mo0.2Nb0.2Ti0.2V0.2Zr0.2,1706,1.452,6.06,4.8,15.59,-2.72,13.38,1.422,0.072,6.81194,2.25,2369.8,15.82,-2.122,120.2,248.94000000000005,45.86,0.36
Mo0.3124Nb0.2084Ti0.2084V0.0625Zr0.2084,1576,1.462038,5.53,4.9,17.3,-3.49,12.61,1.411377,0.062,6.851365909999999,2.55,2454.7476,16.35,-2.169891,120.68,274.25295,48.48,0.41
Mo0.3333Nb0.1667Ti0.1667V0.1667Zr0.1667,1765,1.441816,5.8,5.0,16.33,-3.67,12.98,1.4301389999999998,0.069,6.85934583,2.55,2456.7023,16.01,-1.578763,166.38,284.74391,46.15,0.39
Mo0.3333Nb0.3333Ti0.3333,1100,1.4398559999999998,2.47,5.0,16.33,-3.55,9.13,1.4198579999999998,0.037,6.892477349999999,2.08,2521.0812,16.68,-2.483085,110.64,290.83758,43.65,1.5
Nb0.25Ta0.25Ti0.25W0.25,1054,1.4575,2.02,5.0,14.14,-4.5,11.53,1.3984999999999999,0.049,7.364275,7.77,2905.75,22.47,-1.8275,170.9,297.88,45.29,2.83
Nb0.25Ta0.25Ti0.25Zr0.25,1144,1.505,3.71,4.5,11.11,2.5,11.53,1.361,0.036,7.02775,7.15,2517.0,20.93,-2.3049999999999997,139.87,203.1325,25.06,0.84
Nb0.25Ta0.25V0.25W0.25,1530,1.425,3.99,5.25,8.25,-4.5,11.53,1.436,0.073,7.3438,8.06,2962.5,19.26,-0.3175,736.9,314.45500000000004,38.34,0.72
Nb0.25Ti0.25V0.25Zr0.25,1104,1.4674999999999998,6.27,4.5,11.11,-0.25,11.53,1.4100000000000001,0.076,6.7418249999999995,1.03,2239.75,13.48,-2.9375,74.64,195.24999999999997,22.2,0.29
Nb0.2Ta0.2Ti0.2V0.2W0.2,1420,1.434,3.76,5.0,12.65,-3.68,13.38,1.4248,0.069,7.24068,7.85,2756.6,23.79,-1.356,217.43,284.04400000000004,43.59,0.95
Nb0.2Ta0.2Ti0.2V0.2Zr0.2,1395,1.472,5.63,4.6,10.65,0.32,13.38,1.3948,0.075,6.97146,6.65,2445.6,20.13,-1.738,178.28,208.24600000000004,22.41,0.42
Nb0.2Ti0.2V0.4Zr0.2,918,1.442,6.71,4.6,10.65,-1.28,11.08,1.434,0.084,6.74272,0.92,2223.8,12.23,-2.244,107.04,201.94,20.31,0.25
Nb0.303Re0.0909Ti0.303Zr0.303,1244,1.4971229999999998,4.87,4.58,19.4,-7.27,10.84,1.3907699999999998,0.075,6.843254999999999,4.92,2373.9747,19.95,-4.289873999999999,27.15,223.54128,59.0,0.46
Nb0.303Ta0.0909Ti0.303Zr0.303,882,1.508031,4.05,4.39,11.13,2.64,10.84,1.3665905999999999,0.037,6.844163999999999,4.96,2357.2491,18.54,-3.4426859999999997,66.22,191.00180699999999,25.13,0.66
Nb0.303Ti0.303V0.0909Zr0.303,866,1.494396,5.22,4.39,11.13,1.43,10.84,1.384407,0.058,6.740201669999999,1.14,2256.441,14.63,-3.672663,45.03,188.13573,23.7,0.4
Nb0.3333Ta0.3333Ti0.3333,573,1.4731859999999999,0.85,4.67,10.09,1.33,9.13,1.3745292,0.031,7.158317429999999,7.23,2647.4019,20.75,-1.843149,195.65,223.021029,19.39,12.64
Nb0.375Ta0.2501Ti0.2501Zr0.1249,822,1.487636,2.96,4.63,10.46,2.12,10.98,1.3723893999999999,0.035,7.04418343,6.99,2594.3077,19.61,-2.228626,143.49,216.04792300000003,21.78,1.25
