id,name,symbol,bulk,melting_point,VEC,radius,density,en_pauling,new_bulk,specific_heat,ion,atomic_mass,allen_en,c11,c12,c44,GGA,SGTE,atomic_volume,boiling_point,atomic_weight
0,Hydrogen,H,0,14.01,,0.79,0.0708,2.2,0.2,14.304,13.5984,1.0079,2.3,,,,0,0,14.1,20.28,1.008
1,Helium,He,0,0.95,,,0.147,,0,5.193,24.5874,4.0026,4.16,,,,0,,31.8,4.216,4.002602
2,Lithium,Li,11,553.69,1,1.55,0.534,0.98,11.6,3.582,5.3917,6.941,0.912,13.5,11.44,8.78,-0.05,-0.05,13.1,1118.15,6.94
3,Beryllium,Be,130,1551,2,1.22,1.848,1.57,110,1.825,9.3226,9.0122,1.576,292.3,26.7,0,-7.91,-6.35,5,3243,9.0121831
4,Boron,B,2.04,2573,3,0.98,2.34,2.04,178,1.026,8.298,10.811,2.051,0,0,0,-67.84,0,4.6,3931,10.81
5,Carbon,C,442,3820,4,0.91,2.25,2.55,443,0.709,11.2603,12.0107,2.544,1036,48,0,-6.18,,5.3,5100,12.011
6,Nitrogen,N,6.3,63.29,5,0.92,0.808,3.04,1.2,1.04,14.5341,14.0067,3.066,0,0,0,,,17.3,77.4,14.007
7,Oxygen,O,0,54.8,6,7.3,1.149,3.44,,0.918,13.6181,15.994,3.601,0,0,0,,,14,90.19,15.999
8,Fluorine,F,0,53.53,7,0,1.108,3.98,,0.824,17.4228,18.9984,4.193,0,0,0,,,17.1,85.01,18.99840316
9,Neon,Ne,0,48,8,0,1.204,,,1.03,21.5645,20.1797,4.787,0,0,0,,,16.8,27.1,20.1797
10,Sodium,Na,6.3,370.96,1,1.9,0.971,0.93,6.8,1.228,5.1391,22.9897,0.869,7.39,6.22,4.19,0.03,-0.05,23.7,1156.1,22.98976928
11,Magnesium,Mg,45,922,2,1.6,1.738,1.31,35.6,0.479,7.6462,24.305,1.293,59.5,26.12,0,-1.22,-2.6,14,1363,24.305
12,Aluminum,Al,76,933.5,3,1.43,2.6989,1.61,75.2,0.897,5.9858,26.9815,1.613,106.75,60.41,28.34,2.85,5.48,10,2740,26.9815385
13,Silicon,Si,100,1683,4,1.32,2.33,1.9,98,0.712,8.1517,28.0855,1.916,165.78,63.94,79.62,-3.26,-1.8,12.1,2628,28.085
14,Phosphorus,P,11,317.3,5,1.28,1.82,2.19,30.4,0.769,10.4867,30.738,2.253,0,0,0,-3.77,,17,553,30.973762
15,Sulfur,S,7.7,386,6,1.27,2.07,2.58,7.7,0.708,100.36,32.065,2.589,24,13.3,4.3,-43.63,,15.5,717.824,32.06
16,Chlorine,Cl,0,172.2,7,0,1.56,3.16,,0.479,12.9676,35.453,2.869,0,0,0,,,18.7,238.6,35.45
17,Argon,Ar,0,83.8,8,0,1.4,,,0.52,15.7596,39.948,3.242,5.29,1.35,1.59,,,24.2,87.3,39.948
18,Potassium,K,3.1,336.8,1,2.35,0.856,0.82,3.2,0.757,7.3407,39.0983,0.734,3.7,3.14,1.88,0.26,,45.3,1047,39.0983
19,Calcium,Ca,17,1112,2,1.97,1.55,1,17.2,0.647,6.1132,40.078,1.034,15,10,0,0.29,0.5,29.9,1757,40.078
20,Scandium,Sc,56.6,1814,3,1.62,2.99,1.36,56.6,0.568,6.5614,44.9559,1.91,0,0,0,-4.48,-5,15,3104,44.955908
21,Titanium,Ti,110,1933,4,1.47,4.54,1.54,108,0.524,6.8282,47.867,1.38,162.4,92,0,-5.51,-6,10.6,3560,47.867
22,Vanadium,V,160,2160,5,1.34,6.11,1.63,158,0.489,6.7463,50.9415,1.53,228.7,119,43.2,0.53,-3.5,8.35,3650,50.9415
23,Chromium,Cr,160,2130,6,1.3,7.18,1.66,160,0.449,6.766,51.9961,1.65,339.8,58.6,99,0.91,-2.85,7.23,2945,51.9961
24,Manganese,Mn,114,1517,7,1.35,7.21,1.55,92.6,0.479,7.434,54.9381,1.75,393,223,0,-3.01,-1,7.39,2235,54.938044
25,Iron,Fe,170,1808,8,1.26,7.874,1.83,166,0.449,7.9024,55.845,1.8,226,140,116,-7.76,-2.24,7.1,3023,55.845
26,Cobalt,Co,180,1768,9,1.25,8.9,1.88,182,0.421,7.881,58.9332,1.84,307.1,165,0,-1.99,-0.43,6.7,3143,58.933194
27,Nickel,Ni,180,1726,10,1.24,8.902,1.91,177,0.444,7.6398,58.6934,1.88,248.1,154.9,124.2,2.13,2.89,6.6,3005,58.6934
28,Copper,Cu,140,1356.6,11,1.28,8.96,1.9,138,0.385,7.7264,63.546,1.85,168.3,122.1,75.7,0.52,0.6,7.1,2840,63.546
29,Zinc,Zn,75.4,692.73,12,1.38,7.133,1.65,69.4,0.388,9.3941,65.409,1.588,163.68,36.4,0,-2.88,-2.97,9.2,1180,65.38
30,Gallium,Ga,56,302.93,3,1.41,5.91,1.81,56.9,0.373,5.9993,69.723,1.756,0,0,0,0.69,0.7,11.8,2676,69.723
31,Germanium,Ge,75.8,1210.6,4,1.37,5.323,2.01,77.2,0.32,7.9,72.64,1.994,128.35,48.23,66.66,-0.27,-1,13.6,3103,72.63
32,Arsenic,As,22,1090,5,1.39,5.73,2.18,38.3,0.329,9.8152,74.9216,2.211,0,0,0,-4.83,0,13.1,876,74.921595
33,Selenium,Se,8.3,490,6,1.4,4.79,2.55,8.3,0.321,9.7524,78.96,2.424,18.7,7.1,14.9,-35.88,,16.5,958.1,78.971
34,Bromine,Br,1.9,265.9,,0,3.12,2.96,1.9,0.474,11.8138,79.904,2.658,0,0,0,0,,23.5,331.9,79.904
35,Krypton,Kr,0,116.6,,0,2.155,,,0.248,13.9996,83.798,2.966,0,0,0,,,32.2,120.85,83.798
36,Rubidium,Rb,2.5,312.2,1,2.48,1.532,0.82,3.1,0.363,4.1771,85.4678,0.706,2.96,2.5,1.71,-0.02,,55.9,961,85.4678
37,Strontium,Sr,0,1042,2,2.15,2.54,0.95,12,0.306,5.6948,87.62,0.963,8,3,0,0.38,0.25,33.7,1657,87.62
38,Yttrium,Y,41.2,1795,3,1.78,4.47,1.22,41.2,0.298,6.217,88.9059,1.12,77.9,28.5,0,-2.13,-6,19.8,3611,88.90584
39,Zirconium,Zr,91.1,2125,4,1.6,6.506,1.33,89.8,0.278,6.6339,91.224,1.32,143.4,72.8,0,-3.69,-7.6,14.1,4650,91.224
40,Niobium,Nb,170,2741,5,1.46,8.57,1.6,170,0.265,6.7589,92.9064,1.41,246.5,134.5,28.73,-3.08,-3.5,10.8,5015,92.90637
41,Molybdenum,Mo,230,2890,6,1.39,10.22,2.16,261,0.251,7.0924,95.94,1.47,463.7,157.8,109.2,1.14,-3.65,9.4,4885,95.95
42,Technetium,Tc,0,2445,7,1.36,11.5,2.1,281,,7.28,98,1.51,0,0,0,-6.53,-10,8.5,5150,97.90721
43,Ruthenium,Ru,220,2583,8,1.34,12.41,2.2,286,0.238,7.3605,101.07,1.54,562.6,187.8,0,-10.79,-12.5,8.3,4173,101.07
44,Rhodium,Rh,380,2239,9,1.34,12.41,2.28,276,0.243,7.4589,102.9055,1.56,491,171,0,3.26,3,8.3,4000,102.9055
45,Palladium,Pd,180,1825,10,1.37,12.02,2.2,45.8,0.244,8.3369,106.42,1.58,227.1,176.04,71.73,2.5,2,8.9,3413,106.42
46,Silver,Ag,100,1235.1,11,1.44,10.5,1.93,104,0.235,7.5762,107.8682,1.87,123.99,93.67,46.12,0.29,0.3,10.3,2485,107.8682
47,Cadmium,Cd,42,594.1,12,1.54,8.65,1.69,51,0.231,8.9937,112.411,1.521,114.5,39.5,0,-1,-0.89,13.1,1038,112.414
48,Indium,In,0,429.32,3,1.66,7.31,1.78,41.1,0.233,5.7864,114.818,1.656,45.35,40.06,#VALUE!,0.35,0.37,15.7,2353,114.818
49,Tin,Sn,58,505.1,4,1.62,7.31,1.96,58.2,0.227,7.3438,118.71,1.824,75.29,61.56,21.93,-0.5,-1.61,16.3,2543,118.71
50,Antimony,Sb,42,903.9,5,1.59,6.691,2.05,38.3,0.207,8.64,121.76,1.984,101.3,34.5,39.3,-3.94,,18.4,1908,121.76
51,Tellurium,Te,65,722.7,6,1.6,6.24,2.1,65,0.202,9.0098,127.6,2.158,0,0,0,-23.24,,20.5,1263,127.6
52,Iodine,I,7.7,386.7,,0,4.93,2.66,7.7,0.214,10.4513,126.9045,2.359,0,0,0,0.99,,25.7,457.5,126.90447
53,Xenon,Xe,0,161.3,,0,3.52,2.6,,0.158,12.1299,131.293,2.582,0,0,0,,,42.9,166.1,131.293
54,Cesium,Cs,1.6,301.6,1,2.67,1.873,0.79,1.57,0.242,3.8939,132.9055,0.659,2.47,2.06,1.48,-0.07,,70,951.6,132.905452
55,Barium,Ba,9.6,1002,2,2.22,3.5,0.89,10.2,0.024,5.2117,137.327,0.881,0,0,0,-0.4,0.2,39,1910,137.327
56,Lanthanum,La,27.9,1194,3,1.87,6.15,1.1,27.9,0.195,5.577,138.9055,,0,0,0,2.63,,22.5,3730,138.90547
57,Cerium,Ce,21.5,1072,3,1.81,6.757,1.12,21.5,0.192,5.5387,140.116,,0,0,0,8.5,,21,3699,140.116
58,Praseodymium,Pr,28.8,1204,3,1.82,6.773,1.13,28.8,0.193,5.464,140.9077,,0,0,0,2.08,,20.8,3785,140.90766
59,Neodymium,Nd,31.8,1294,3,1.82,7.007,1.14,31.8,0.19,5.525,144.24,,0,0,0,1.94,,20.6,3341,144.242
60,Promethium,Pm,33,1441,3,0,7.2,,33,,5.55,145,,0,0,0,1.77,,,3000,144.91276
61,Samarium,Sm,37.8,1350,3,1.81,7.52,1.17,37.8,0.196,5.6437,150.36,,0,0,0,1.53,,19.9,2064,150.36
62,Europium,Eu,8.3,1095,3,1.99,5.243,,14.7,0.182,5.6704,151.964,,0,0,0,0.24,,28.9,1870,151.964
63,Gadolinium,Gd,37.9,1586,3,1.79,7.9,1.2,37.9,0.235,6.15,157.25,,66.67,24.99,0,0.74,,19.9,3539,157.25
64,Terbium,Tb,38.7,1629,3,1.8,8.229,,38.7,0.182,5.8939,158.9253,,0,0,0,0.24,,19.2,3296,158.92535
65,Dysprosium,Dy,40.5,1685,3,1.8,8.55,1.22,40.5,0.173,5.9389,162.5,,74.66,26.16,0,-0.41,,19,2835,162.5
66,Holmium,Ho,40.2,1747,3,1.79,8.795,1.23,40.2,0.165,6.0216,164.9303,,0,0,0,-1.18,,18.7,2968,164.93033
67,Erbium,Er,44.4,1802,3,1.78,9.06,1.24,44.4,0.168,6.1078,167.259,,86.34,30.5,0,-1.97,,18.4,3136,167.259
68,Thulium,Tm,44.5,1818,3,1.77,9.321,1.25,44.5,0.16,6.1843,168.9342,,0,0,0,-2.68,,18.1,2220,168.93422
69,Ytterbium,Yb,30.5,1097,3,1.94,6.9654,,30.5,0.155,6.2542,173.04,,0,0,0,,,24.8,1466,173.045
70,Lutetium,Lu,47.6,1936,3,1.75,9.8404,1,47.6,0.154,5.4259,174.967,1.09,0,0,0,-3.86,,17.8,3668,174.9668
71,Hafnium,Hf,110,2503,4,1.67,13.31,1.3,109,0.144,6.8251,178.49,1.16,188.1,77.2,0,-6.82,-10,13.6,5470,178.49
72,Tantalum,Ta,200,3269,5,1.49,16.654,1.5,196,0.14,7.89,180.9479,1.334,260.23,154.46,82.55,3.06,-4,10.9,5698,180.94788
73,Tungsten,W,310,3680,6,1.41,19.3,1.7,311,0.132,7.98,183.84,1.47,522.39,204.37,160.83,-1.78,-4.55,9.53,5930,183.84
74,Rhenium,Re,370,3453,7,1.37,21.02,1.9,334,0.137,7.88,186.207,1.6,618.2,275.3,0,-6.26,-11,8.85,5900,186.207
75,Osmium,Os,462,3327,8,1.35,22.57,2.2,373,0.13,8.7,190.23,1.65,0,0,0,-13.26,-13,8.43,5300,190.23
76,Iridium,Ir,320,2683,9,1.36,22.42,2.2,371,0.131,9.1,192.217,1.68,580,242,256,6.55,4,8.54,4403,192.217
77,Platinum,Pt,230,2045,10,1.39,21.45,2.2,276,0.133,9,195.079,1.72,346.7,250.7,76.5,5.02,2.5,9.1,4100,195.084
78,Gold,Au,1804,1337.58,11,1.46,19.3,2.4,171,0.129,9.2257,196.9665,1.92,192.44,162.98,42,0.08,0.24,10.2,3080,196.966569
79,Mercury,Hg,0,234.28,,1.57,13.546,1.9,38.2,0.14,10.4375,200.59,1.765,0,0,0,-1.92,-2.07,14.8,629.73,200.592
80,Thallium,Tl,43,576.6,3,1.71,11.85,1.8,28.5,0.129,6.1083,204.3833,1.789,40.8,35.4,0,-1.81,-0.31,17.2,1730,204.38
81,Lead,Pb,46,600.65,4,1.75,11.35,1.8,45.8,0.13,7.4167,207.2,1.854,49.66,42.31,14.98,1.8,0.3,18.3,2013,207.2
82,Bismuth,Bi,31,544.5,,1.7,9.747,1.9,31.5,0.122,7.289,208.9804,2.01,63.7,24.9,11.23,-4.2,,21.3,1883,208.9804
83,Polonium,Po,2,527,6,1.76,9.32,2,2,,8.4167,209,2.19,128,13,0,,,22.7,1235,209
84,Astatine,At,0,575,,0,,2.2,,,9.5,210,2.39,0,0,0,,,,610,210
85,Radon,Rn,0,202,,0,4.4,,,0.094,10.7485,222,2.6,0,0,0,,,,211.4,222
86,Francium,Fr,0,300,,0,,0.7,,,3.94,223,0.67,0,0,0,,,,950,223
87,Radium,Ra,0,973,,0,5.5,0.9,,,5.2789,226,0.89,0,0,0,,,45,1413,226
88,Actinium,Ac,0,1320,,1.88,,1.1,,0.12,5.17,227,,0,0,0,0.8,,22.54,3470,227
89,Thorium,Th,54,2028,3,1.8,11.78,1.3,54,0.118,6.08,232.0381,,75.3,48.9,47.8,4,,19.8,5060,232.0377
90,Protactinium,Pa,0,2113,3,1.61,15.37,1.5,,,5.89,231.0359,,0,0,0,0.49,,15,4300,231.03588
91,Uranium,U,100,1405.5,3,1.38,19.05,1.7,97.9,0.116,6.1941,238.0289,,214.86,46.22,124.79,-15.79,,12.5,4018,238.02891
92,Neptunium,Np,0,913,,1.3,20.25,1.3,,,6.2657,237,,0,0,0,-14.01,,21.1,4175,237
93,Plutonium,Pu,0,914,,1.51,19.84,1.3,76,,6.06,244,,0,0,0,0.69,,,3505,244
94,Americium,Am,0,1267,,1.73,13.67,,,,5.9933,243,,0,0,0,,,20.8,2880,243
95,Curium,Cm,0,1340,,2.99,13.51,,,,6.02,247,,0,0,0,,,18.28,,247
96,Berkelium,Bk,0,,,2.97,13.25,,,,6.23,247,,0,0,0,,,,,247
97,Californium,Cf,0,900,,2.95,15.1,,1.57,,6.3,251,,0,0,0,,,,,251
98,Einsteinium,Es,0,,,2.92,,,,,6.42,252,,0,0,0,,,,1130,252
99,Fermium,Fm,0,1800,,2.9,,,,,6.5,257,,0,0,0,,,,,257
100,Mendelevium,Md,0,1100,,2.87,,,,,6.58,258,,0,0,0,,,,,258
101,Nobelium,No,0,1100,,2.85,,,,,6.65,259,,0,0,0,,,,,259
102,Lawrencium,Lr,0,,,2.82,,,,,,262,,0,0,0,,,,,262
103,Rutherfordium,Rf,0,,,0,,,,,,261,,0,0,0,,,,,267
104,Dubnium,Db,0,,,0,,,,,,262,,0,0,0,,,,,268
105,Seaborgium,Sg,0,,,0,,,,,,266,,0,0,0,,,,,271
106,Bohrium,Bh,0,,,0,,,,,,264,,0,0,0,,,,,274
107,Hassium,Hs,0,,,0,,,,,,277,,0,0,0,,,,,269
108,Meitnerium,Mt,0,,,0,,,,,,268,,0,0,0,,,,,276
109,Darmstadtium,Ds,0,,,0,,,,,,281,,0,0,0,,,,,281
110,Roentgenium,Rg,0,,,0,,,,,,272,,0,0,0,,,,,281
111,Copernicium,Cn,0,,,0,,,,,,285,,0,0,0,,,,,285
112,Nihonium,Nh,0,,,0,,,,,,286,,0,0,0,,,,,286
113,Flerovium,Fl,0,,,0,,,,,,289,,0,0,0,,,,,289
114,Moscovium,Mc,0,,,0,,,,,,290,,0,0,0,,,,,288
115,Livermorium,Lv,0,,,0,,,,,,292,,0,0,0,,,,,293
116,Tennessine,Ts,0,,,0,,,,,,294,,0,0,0,,,,,294
117,Oganesson,Og,0,,,0,,,,,,294,,0,0,0,,,,,294
